"TIME","Oxy.kg/m^3"
2020-12-01 12:55:00,0.00505
2020-12-01 13:55:00,0.00503
2020-12-01 14:55:00,0.00536
2020-12-01 15:55:00,0.00528
2020-12-01 16:55:00,0.0045
2020-12-01 17:55:00,0.004
2020-12-01 18:55:00,0.00351
2020-12-01 19:55:00,0.00392
2020-12-01 20:55:00,0.00422
2020-12-01 21:55:00,0.00446
2020-12-01 22:55:00,0.00481
2020-12-01 23:55:00,0.00493
2020-12-02 00:55:00,0.00509
2020-12-02 01:55:00,0.00511
2020-12-02 02:55:00,0.00513
2020-12-02 03:55:00,0.00518
2020-12-02 04:55:00,0.00511
2020-12-02 05:55:00,0.00508
2020-12-02 06:55:00,0.00519
2020-12-02 07:55:00,0.0052
2020-12-02 08:55:00,0.00504
2020-12-02 09:55:00,0.00453
2020-12-02 10:55:00,0.0047
2020-12-02 11:55:00,0.00454
2020-12-02 12:55:00,0.00496
2020-12-02 13:55:00,0.00505
2020-12-02 14:55:00,0.00511
2020-12-02 15:55:00,0.005
2020-12-02 16:55:00,0.00439
2020-12-02 17:55:00,0.004
2020-12-02 18:55:00,0.0034
2020-12-02 19:55:00,0.00387
2020-12-02 20:55:00,0.00433
2020-12-02 21:55:00,0.00462
2020-12-02 22:55:00,0.00479
2020-12-02 23:55:00,0.00488
2020-12-03 00:55:00,0.00511
2020-12-03 01:55:00,0.00508
2020-12-03 02:55:00,0.00512
2020-12-03 03:55:00,0.00526
2020-12-03 04:55:00,0.0053
2020-12-03 05:55:00,0.00536
2020-12-03 06:55:00,0.00533
2020-12-03 07:55:00,0.00544
2020-12-03 08:55:00,0.00522
2020-12-03 10:55:00,0.00509
2020-12-03 11:55:00,0.00599
2020-12-03 12:55:00,0.00606
2020-12-03 13:55:00,0.00618
2020-12-03 14:55:00,0.00628
2020-12-03 15:16:00,0.00632
2020-12-03 15:17:00,0.00634
2020-12-03 15:17:00,0.00635
2020-12-03 16:17:00,0.00617
2020-12-03 17:17:00,0.00466
2020-12-03 18:17:00,0.00436
2020-12-03 19:17:00,0.00473
2020-12-03 20:17:00,0.00494
2020-12-03 21:17:00,0.00523
2020-12-03 22:17:00,0.00544
2020-12-03 23:17:00,0.00568
2020-12-04 00:17:00,0.00577
2020-12-04 01:17:00,0.00592
2020-12-04 02:17:00,0.00597
2020-12-04 03:17:00,0.00617
2020-12-04 04:17:00,0.00631
2020-12-04 05:17:00,0.00636
2020-12-04 06:17:00,0.00639
2020-12-04 07:17:00,0.00644
2020-12-04 08:17:00,0.00659
2020-12-04 09:17:00,0.0065
2020-12-04 10:17:00,0.00589
2020-12-04 11:17:00,0.00605
2020-12-04 12:17:00,0.00578
2020-12-04 13:17:00,0.00576
2020-12-04 14:17:00,0.00586
2020-12-04 15:17:00,0.00592
2020-12-04 16:17:00,0.00565
2020-12-04 17:17:00,0.0047
2020-12-04 18:17:00,0.00459
2020-12-04 19:17:00,0.00475
2020-12-04 20:17:00,0.00514
2020-12-04 21:17:00,0.00527
2020-12-04 22:17:00,0.0055
2020-12-04 23:17:00,0.00574
2020-12-05 00:17:00,0.0058
2020-12-05 01:17:00,0.00592
2020-12-05 02:17:00,0.00591
2020-12-05 04:47:00,0.00533
2020-12-05 05:47:00,0.00569
2020-12-05 06:47:00,0.00592
2020-12-05 07:47:00,0.00603
2020-12-05 08:47:00,0.00615
2020-12-05 09:47:00,0.00601
2020-12-05 11:04:00,0.0057
2020-12-05 12:04:00,0.00558
2020-12-05 13:04:00,0.00556
2020-12-05 14:04:00,0.00579
2020-12-05 15:04:00,0.00586
2020-12-05 16:04:00,0.00583
2020-12-05 17:04:00,0.00494
2020-12-05 18:04:00,0.00457
2020-12-05 19:04:00,0.00449
2020-12-05 20:04:00,0.0048
2020-12-05 21:04:00,0.00524
2020-12-05 22:04:00,0.00518
2020-12-05 23:47:00,0.00536
2020-12-06 00:47:00,0.00561
2020-12-06 01:47:00,0.00586
2020-12-06 02:47:00,0.00594
2020-12-06 03:47:00,0.00612
2020-12-06 04:47:00,0.00626
2020-12-06 05:47:00,0.00634
2020-12-06 06:47:00,0.0065
2020-12-06 07:47:00,0.00651
2020-12-06 08:47:00,0.0066
2020-12-06 09:47:00,0.00631
2020-12-06 10:47:00,0.0054
2020-12-06 11:47:00,0.00537
2020-12-06 12:47:00,0.0054
2020-12-06 13:47:00,0.005
2020-12-06 14:47:00,0.00517
2020-12-06 15:47:00,0.00548
2020-12-06 16:47:00,0.00506
2020-12-06 17:47:00,0.00435
2020-12-06 18:47:00,0.00419
2020-12-06 19:47:00,0.00432
2020-12-06 20:47:00,0.00469
2020-12-06 21:47:00,0.00494
2020-12-06 23:41:00,0.00517
2020-12-07 00:41:00,0.00531
2020-12-07 01:41:00,0.00567
2020-12-07 02:41:00,0.00578
2020-12-07 03:41:00,0.00592
2020-12-07 04:41:00,0.00595
2020-12-07 05:41:00,0.00601
2020-12-07 06:41:00,0.00597
2020-12-07 07:41:00,0.00601
2020-12-07 08:41:00,0.00596
2020-12-07 09:41:00,0.00601
2020-12-07 10:41:00,0.00516
2020-12-07 11:41:00,0.00542
2020-12-07 12:41:00,0.00572
2020-12-07 13:41:00,0.00541
2020-12-07 14:41:00,0.0055
2020-12-07 15:41:00,0.00536
2020-12-07 16:41:00,0.00493
2020-12-07 17:41:00,0.00433
2020-12-07 18:41:00,0.0037
2020-12-07 19:41:00,0.00421
2020-12-07 20:41:00,0.00449
2020-12-07 21:41:00,0.00476
2020-12-07 22:41:00,0.00499
2020-12-07 23:41:00,0.00509
2020-12-08 00:41:00,0.00535
2020-12-08 01:41:00,0.00548
2020-12-08 03:20:00,0.00534
2020-12-08 04:20:00,0.00547
2020-12-08 05:20:00,0.00548
2020-12-08 06:20:00,0.00562
2020-12-08 07:20:00,0.00591
2020-12-08 09:00:00,0.00585
2020-12-08 10:00:00,0.00513
2020-12-08 11:00:00,0.00561
2020-12-08 12:00:00,0.00531
2020-12-08 13:00:00,0.00589
2020-12-08 14:00:00,0.00581
2020-12-08 15:00:00,0.00596
2020-12-08 16:00:00,0.00588
2020-12-08 17:00:00,0.00491
2020-12-08 18:00:00,0.00433
2020-12-08 19:00:00,0.00433
2020-12-08 20:00:00,0.00451
2020-12-08 21:00:00,0.00486
2020-12-08 22:00:00,0.005
2020-12-08 23:00:00,0.00538
2020-12-09 00:00:00,0.00553
2020-12-09 01:00:00,0.00561
2020-12-09 02:00:00,0.00575
2020-12-09 03:00:00,0.0057
2020-12-09 04:00:00,0.00582
2020-12-09 05:00:00,0.00572
2020-12-09 06:00:00,0.00585
2020-12-09 07:00:00,0.006
2020-12-09 08:00:00,0.00596
2020-12-09 09:32:00,0.00584
2020-12-09 10:32:00,0.00495
2020-12-09 11:32:00,0.00554
2020-12-09 12:32:00,0.00491
2020-12-09 13:32:00,0.00481
2020-12-09 14:32:00,0.00541
2020-12-09 15:32:00,0.00542
2020-12-09 16:32:00,0.00514
2020-12-09 17:32:00,0.00432
2020-12-09 18:32:00,0.00409
2020-12-09 19:32:00,0.00427
2020-12-09 20:32:00,0.00453
2020-12-09 21:32:00,0.00461
2020-12-09 22:32:00,0.00489
2020-12-09 23:32:00,0.00502
2020-12-10 00:32:00,0.00532
2020-12-10 01:32:00,0.00544
2020-12-10 02:32:00,0.0055
2020-12-10 03:32:00,0.00562
2020-12-10 04:32:00,0.00572
2020-12-10 05:32:00,0.00564
2020-12-10 06:32:00,0.00566
2020-12-10 07:32:00,0.0059
2020-12-10 08:32:00,0.00589
2020-12-10 09:32:00,0.00574
2020-12-10 10:32:00,0.0051
2020-12-10 11:32:00,0.00554
2020-12-10 12:32:00,0.00544
2020-12-10 13:32:00,0.00511
2020-12-10 14:32:00,0.00533
2020-12-10 16:42:00,0.005
2020-12-10 17:42:00,0.00444
2020-12-10 18:42:00,0.00391
2020-12-10 19:42:00,0.00436
2020-12-10 20:42:00,0.00452
2020-12-10 21:42:00,0.00466
2020-12-10 22:42:00,0.00497
2020-12-10 23:42:00,0.0052
2020-12-11 00:42:00,0.00536
2020-12-11 01:42:00,0.00553
2020-12-11 02:42:00,0.0057
2020-12-11 03:42:00,0.00576
2020-12-11 04:42:00,0.00579
2020-12-11 05:42:00,0.00589
2020-12-11 06:42:00,0.00593
2020-12-11 07:42:00,0.00604
2020-12-11 08:42:00,0.00607
2020-12-11 09:42:00,0.00574
2020-12-11 10:42:00,0.00512
2020-12-11 11:42:00,0.0054
