"DAY","K.kg/m^3"
2021-02-08,0.131024541666667
2021-02-09,0.129153458333333
2021-02-10,0.127875363636364
2021-02-11,0.126332583333333
2021-02-12,0.125130958333333
2021-02-13,0.124501375
2021-02-14,0.125933375
2021-02-15,0.127562782608696
2021-02-16,0.129938291666667
2021-02-17,0.134966
2021-02-18,0.132397291666667
2021-02-19,0.130894958333333
2021-02-20,0.130482166666667
2021-02-21,0.128234666666667
2021-02-22,0.125252383333333
2021-02-23,0.124975541666667
2021-02-24,0.129271128679245
2021-02-25,0.135204473684211
2021-02-26,0.0203614495354167
2021-02-27,0.000178981428125
2021-02-28,0.000202175608421053
2021-03-01,0.000115506045833333
2021-03-02,8.6763478125e-05
2021-03-03,7.43734583333333e-05
2021-03-04,7.70215989583333e-05
2021-03-05,9.7951753125e-05
2021-03-06,9.02964145833333e-05
2021-03-07,9.33852125e-05
2021-03-08,0.000135370647916667
2021-03-09,0.000110401244791667
2021-03-10,8.91886822916667e-05
2021-03-11,0.00011656068125
2021-03-12,8.09127114583333e-05
2021-03-13,7.32898989583333e-05
2021-03-14,5.9500421875e-05
2021-03-15,8.25794416666667e-05
2021-03-16,7.29542583333333e-05
2021-03-17,0.0935602073410526
2021-03-18,0.138554336842105
2021-03-19,0.1347903125
2021-03-20,0.13222190625
2021-03-21,0.131044135416667
2021-03-22,0.129866239583333
2021-03-23,0.129571041666667
2021-03-24,0.128532208333333
2021-03-25,0.125959944791667
2021-03-26,0.125934583333333
2021-03-27,0.126144354166667
2021-03-28,0.129258322916667
2021-03-29,0.131140020833333
2021-03-30,0.129031833333333
2021-03-31,0.12667884375
2021-04-01,0.12493234375
2021-04-02,0.123409604166667
2021-04-03,0.124584385416667
2021-04-04,0.125201739583333
2021-04-05,0.124539520833333
2021-04-06,0.122418135416667
2021-04-07,0.124098204255319
2021-04-08,0.12765971875
2021-04-09,0.128926652631579
2021-04-10,0.126718197916667
2021-04-11,0.124413885416667
2021-04-12,0.124067913043478
2021-04-13,0.123882333333333
2021-04-14,0.121866625
2021-04-15,0.118178833333333
2021-04-16,0.117926052083333
2021-04-17,0.119331802083333
2021-04-18,0.1181209375
2021-04-19,0.116506489583333
2021-04-20,0.114979958333333
2021-04-21,0.11374446875
2021-04-22,0.120412958333333
2021-04-23,0.1240895625
2021-04-24,0.123685885416667
2021-04-25,0.12511640625
2021-04-26,0.126377936170213
2021-04-27,0.120727822916667
2021-04-28,0.119446765957447
2021-04-29,0.122730291666667
2021-04-30,0.127397072916667
2021-05-01,0.126131739583333
2021-05-02,0.128959395833333
2021-05-03,0.121964666666667
2021-05-04,0.12140021875
2021-05-05,0.121287926315789
2021-05-06,0.117771280208333
2021-05-07,0.118397322916667
2021-05-08,0.11932853125
2021-05-09,0.11974696875
2021-05-10,0.113065677083333
2021-05-11,0.107165739583333
2021-05-12,0.10561303125
2021-05-13,0.1237946875
2021-05-14,0.128733385416667
2021-05-15,0.140751635416667
2021-05-16,0.138482319148936
2021-05-17,0.12433140625
2021-05-18,0.119028804166667
2021-05-19,0.118828614583333
2021-05-20,0.118860864583333
2021-05-21,0.130356885416667
2021-05-22,0.13142678125
2021-05-23,0.127343302083333
2021-05-24,0.126081260416667
2021-05-25,0.126135947916667
2021-05-26,0.118846479166667
2021-05-27,0.111918645833333
2021-05-28,0.123603822916667
2021-05-29,0.129787229166667
2021-05-30,0.130472677083333
2021-05-31,0.134124364583333
2021-06-01,0.132341877083333
2021-06-02,0.132625416666667
2021-06-03,0.128034115789474
2021-06-04,0.125805744444444
2021-06-05,0.126660614583333
2021-06-06,0.122186302083333
2021-06-07,0.118569958333333
2021-06-08,0.120462913978495
2021-06-09,0.117627489361702
2021-06-10,0.119159536842105
2021-06-11,0.122195395833333
2021-06-12,0.128149225806452
