"TIME","Amm.kg/m^3"
2020-08-07 02:28:00,0.00168082
2020-08-07 03:28:00,0.00153033
2020-08-07 04:28:00,0.00153209
2020-08-07 05:28:00,0.00138032
2020-08-07 06:28:00,0.0013505
2020-08-07 07:28:00,0.00099796
2020-08-07 08:28:00,0.000946248
2020-08-07 09:28:00,0.000961853
2020-08-07 10:28:00,0.001031
2020-08-07 11:28:00,0.0010829
2020-08-07 12:28:00,0.00122494
2020-08-07 13:28:00,0.00147318
2020-08-07 14:28:00,0.00152376
2020-08-07 15:28:00,0.00165542
2020-08-07 16:28:00,0.00198185
2020-08-07 17:28:00,0.00209317
2020-08-07 18:28:00,0.00219892
2020-08-07 19:28:00,0.0023291
2020-08-07 20:28:00,0.0023462
2020-08-07 21:28:00,0.00228164
2020-08-07 22:28:00,0.00219616
2020-08-07 23:28:00,0.00219802
2020-08-08 00:28:00,0.00208335
2020-08-08 01:28:00,0.00194516
2020-08-08 02:28:00,0.00184126
2020-08-08 03:28:00,0.0017026
2020-08-08 04:28:00,0.00140533
2020-08-08 05:28:00,0.00145854
2020-08-08 06:28:00,0.00143827
2020-08-08 07:28:00,0.00116661
2020-08-08 08:28:00,0.00095925
2020-08-08 09:28:00,0.00106871
2020-08-08 10:28:00,0.00107516
2020-08-08 11:28:00,0.00101841
2020-08-08 12:28:00,0.00112013
2020-08-08 13:28:00,0.0013649
2020-08-08 14:28:00,0.00158373
2020-08-08 15:28:00,0.00169517
2020-08-08 16:28:00,0.0019096
2020-08-08 17:28:00,0.00195331
2020-08-08 18:28:00,0.0021529
2020-08-08 19:28:00,0.00221293
2020-08-08 20:28:00,0.00214178
2020-08-08 21:28:00,0.00215419
2020-08-08 22:28:00,0.00203584
2020-08-08 23:28:00,0.00190359
2020-08-09 00:28:00,0.00164694
2020-08-09 01:28:00,0.00169908
2020-08-09 02:28:00,0.00160496
2020-08-09 03:28:00,0.00145798
2020-08-09 04:28:00,0.00131094
2020-08-09 05:28:00,0.00107453
2020-08-09 06:28:00,0.00115048
2020-08-09 07:28:00,0.000811068
2020-08-09 08:28:00,0.000804902
2020-08-09 09:28:00,0.000829435
2020-08-09 10:28:00,0.000754786
2020-08-09 11:28:00,0.000851697
2020-08-09 12:28:00,0.000970386
2020-08-09 13:28:00,0.00109643
2020-08-09 14:28:00,0.00135751
2020-08-09 15:28:00,0.00149657
2020-08-09 16:28:00,0.00168845
2020-08-09 17:28:00,0.00189423
2020-08-09 18:28:00,0.00194454
2020-08-09 19:28:00,0.00191196
2020-08-09 20:28:00,0.00191105
2020-08-09 21:28:00,0.00187758
2020-08-09 22:28:00,0.00178591
2020-08-09 23:28:00,0.00177224
2020-08-10 00:28:00,0.00165246
2020-08-10 01:28:00,0.00141005
2020-08-10 02:28:00,0.00121708
2020-08-10 03:28:00,0.00111016
2020-08-10 04:28:00,0.000836296
2020-08-10 05:28:00,0.000817776
2020-08-10 06:28:00,0.00076794
2020-08-10 07:28:00,0.000592883
2020-08-10 08:28:00,0.000493543
2020-08-10 09:28:00,0.000551831
2020-08-10 10:28:00,0.000582918
2020-08-10 11:28:00,0.000625096
2020-08-10 12:28:00,0.00056018
2020-08-10 13:28:00,0.000715471
2020-08-10 14:28:00,0.000979508
2020-08-10 15:28:00,0.000944514
2020-08-10 16:28:00,0.00180484
2020-08-10 17:28:00,0.00196469
2020-08-10 18:28:00,0.00205797
2020-08-10 19:28:00,0.00214396
2020-08-10 20:28:00,0.00217331
2020-08-10 21:28:00,0.00218962
2020-08-10 22:28:00,0.0020628
2020-08-10 23:28:00,0.00211773
2020-08-11 00:28:00,0.00207986
2020-08-11 01:28:00,0.00205863
2020-08-11 02:28:00,0.00200181
2020-08-11 03:28:00,0.00182429
2020-08-11 04:28:00,0.00177369
2020-08-11 05:28:00,0.00167379
2020-08-11 06:28:00,0.00151097
2020-08-11 07:28:00,0.0014625
2020-08-11 08:28:00,0.0013769
2020-08-11 09:28:00,0.00143064
2020-08-11 10:28:00,0.00102804
2020-08-11 11:28:00,0.00111828
2020-08-11 12:28:00,0.00134131
2020-08-11 13:28:00,0.00153881
2020-08-11 14:28:00,0.00169932
2020-08-11 15:28:00,0.00179906
2020-08-11 16:28:00,0.00214594
2020-08-11 17:28:00,0.00224889
2020-08-11 18:28:00,0.00236549
2020-08-11 19:28:00,0.00244261
2020-08-11 20:28:00,0.00240473
2020-08-11 21:28:00,0.00241912
2020-08-11 22:28:00,0.00242065
2020-08-11 23:28:00,0.00236775
2020-08-12 00:28:00,0.00235285
2020-08-12 01:28:00,0.00222099
2020-08-12 02:28:00,0.00223567
2020-08-12 03:28:00,0.00203901
2020-08-12 04:28:00,0.00192565
2020-08-12 05:28:00,0.0017203
2020-08-12 06:28:00,0.00163541
2020-08-12 07:28:00,0.00144977
2020-08-12 08:28:00,0.00130537
2020-08-12 09:28:00,0.000620183
2020-08-12 10:28:00,0.00113702
2020-08-12 11:28:00,0.00095697
2020-08-12 12:28:00,0.0010606
2020-08-12 13:28:00,0.00160435
2020-08-12 14:28:00,0.00189077
2020-08-12 15:28:00,0.00200504
2020-08-12 16:28:00,0.00230387
2020-08-12 17:28:00,0.00236231
2020-08-12 18:28:00,0.00244903
2020-08-12 19:28:00,0.00243828
2020-08-12 20:28:00,0.00246029
2020-08-12 21:28:00,0.00246711
2020-08-12 22:28:00,0.00250278
2020-08-12 23:28:00,0.00247722
2020-08-13 00:28:00,0.00237616
2020-08-13 01:28:00,0.00231169
2020-08-13 02:28:00,0.00220389
2020-08-13 03:28:00,0.00209109
2020-08-13 04:28:00,0.00185727
2020-08-13 05:28:00,0.00178018
2020-08-13 06:28:00,0.00179586
2020-08-13 07:28:00,0.00143898
2020-08-13 08:28:00,0.00115025
2020-08-13 09:28:00,0.00117793
2020-08-13 10:28:00,0.00117731
2020-08-13 11:28:00,0.001167
2020-08-13 12:28:00,0.00316522
2020-08-13 13:28:00,0.00337812
2020-08-13 14:28:00,0.00350943
2020-08-13 15:28:00,0.00348354
2020-08-13 16:28:00,0.00394202
2020-08-13 17:28:00,0.00363837
2020-08-13 18:28:00,0.00377561
2020-08-13 19:28:00,0.00384642
2020-08-13 20:28:00,0.00385382
2020-08-13 21:28:00,0.00382172
2020-08-13 22:28:00,0.003815
2020-08-13 23:28:00,0.00381982
2020-08-14 00:28:00,0.00381794
2020-08-14 01:28:00,0.00355342
2020-08-14 02:28:00,0.00349861
2020-08-14 03:28:00,0.00323315
2020-08-14 04:28:00,0.0030018
2020-08-14 05:28:00,0.00281948
2020-08-14 06:28:00,0.00271711
2020-08-14 07:28:00,0.0027213
2020-08-14 08:28:00,0.00248999
2020-08-14 09:28:00,0.00251548
2020-08-14 10:28:00,0.00227849
2020-08-14 11:28:00,0.00218762
2020-08-14 12:28:00,0.00215862
2020-08-14 13:28:00,0.0021666
2020-08-14 14:28:00,0.00214852
2020-08-14 15:28:00,0.00225298
2020-08-14 16:28:00,0.00240561
2020-08-14 17:28:00,0.00247625
2020-08-14 18:28:00,0.00271312
2020-08-14 19:28:00,0.00293577
2020-08-14 20:28:00,0.00296268
2020-08-14 21:28:00,0.00301798
2020-08-14 22:28:00,0.00286351
2020-08-14 23:28:00,0.00270449
2020-08-15 00:28:00,0.00258543
2020-08-15 01:28:00,0.00240422
2020-08-15 02:28:00,0.002316
2020-08-15 03:28:00,0.00216591
2020-08-15 04:28:00,0.00197997
2020-08-15 05:28:00,0.00186552
2020-08-15 06:28:00,0.00182581
2020-08-15 07:28:00,0.00162281
2020-08-15 08:28:00,0.00146565
2020-08-15 09:28:00,0.00158209
2020-08-15 10:28:00,0.00152442
2020-08-15 11:28:00,0.00155617
2020-08-15 12:28:00,0.0015106
2020-08-15 13:28:00,0.00168323
2020-08-15 14:28:00,0.00169872
2020-08-15 15:28:00,0.00173888
2020-08-15 16:28:00,0.00201789
2020-08-15 17:28:00,0.00216122
2020-08-15 18:28:00,0.00245633
2020-08-15 19:28:00,0.00250966
2020-08-15 20:28:00,0.00254276
2020-08-15 21:28:00,0.00265187
2020-08-15 22:28:00,0.00262353
2020-08-15 23:28:00,0.00258886
2020-08-16 00:28:00,0.00248482
2020-08-16 01:28:00,0.00238277
2020-08-16 02:28:00,0.00243571
2020-08-16 03:28:00,0.0020009
2020-08-16 04:28:00,0.00203949
2020-08-16 05:28:00,0.00170907
2020-08-16 06:28:00,0.00170865
2020-08-16 07:28:00,0.00151352
2020-08-16 08:28:00,0.00143483
2020-08-16 09:28:00,0.00157677
2020-08-16 10:28:00,0.00158322
2020-08-16 11:28:00,0.00160865
2020-08-16 12:28:00,0.00172881
2020-08-16 13:28:00,0.0018499
2020-08-16 14:28:00,0.00213852
2020-08-16 15:28:00,0.00228219
2020-08-16 16:28:00,0.00280479
2020-08-16 17:28:00,0.00283139
2020-08-16 18:28:00,0.00319785
2020-08-16 19:28:00,0.00319557
2020-08-16 20:28:00,0.00331035
2020-08-16 21:28:00,0.00327894
2020-08-16 22:28:00,0.00329515
2020-08-16 23:28:00,0.00326709
2020-08-17 00:28:00,0.00324943
2020-08-17 01:28:00,0.00307012
2020-08-17 02:28:00,0.00293977
2020-08-17 03:28:00,0.00275254
2020-08-17 04:28:00,0.00266031
2020-08-17 05:28:00,0.00256743
2020-08-17 06:28:00,0.00250505
2020-08-17 07:28:00,0.00228916
2020-08-17 08:28:00,0.00219064
2020-08-17 09:28:00,0.00237197
2020-08-17 10:28:00,0.00215749
2020-08-17 11:28:00,0.0021508
2020-08-17 12:28:00,0.0018493
2020-08-17 13:28:00,0.00234521
2020-08-17 14:28:00,0.00272648
2020-08-17 15:28:00,0.00282133
2020-08-17 16:28:00,0.003341
2020-08-17 17:28:00,0.00344263
2020-08-17 18:28:00,0.00358431
2020-08-17 19:28:00,0.00358493
2020-08-17 20:28:00,0.0036738
2020-08-17 21:28:00,0.00367091
2020-08-17 22:28:00,0.00361535
2020-08-17 23:28:00,0.00367818
2020-08-18 00:28:00,0.00344524
2020-08-18 01:28:00,0.00342418
2020-08-18 02:28:00,0.00316191
2020-08-18 03:28:00,0.00309071
2020-08-18 04:28:00,0.00276987
2020-08-18 05:28:00,0.00235809
