"DAY","Day_Period","CO2_ppm"
2020-07-01,"morning",NA
2020-07-01,"aftern.",NA
2020-07-02,"morning",11
2020-07-02,"aftern.",13
2020-07-03,"morning",13
2020-07-03,"aftern.",NA
2020-07-04,"morning",11
2020-07-04,"aftern.",NA
2020-07-05,"morning",NA
2020-07-05,"aftern.",NA
2020-07-06,"morning",12
2020-07-06,"aftern.",17
2020-07-07,"morning",15
2020-07-07,"aftern.",13
2020-07-08,"morning",16
2020-07-08,"aftern.",13
2020-07-09,"morning",13
2020-07-09,"aftern.",13
2020-07-10,"morning",11
2020-07-10,"aftern.",13
2020-07-11,"morning",11
2020-07-11,"aftern.",NA
2020-07-12,"morning",9
2020-07-12,"aftern.",NA
2020-07-13,"morning",13
2020-07-13,"aftern.",14
2020-07-14,"morning",14
2020-07-14,"aftern.",13
2020-07-15,"morning",13
2020-07-15,"aftern.",NA
2020-07-16,"morning",10
2020-07-16,"aftern.",10
2020-07-17,"morning",12
2020-07-17,"aftern.",14
2020-07-18,"morning",14
2020-07-18,"aftern.",NA
2020-07-19,"morning",8
2020-07-19,"aftern.",NA
2020-07-20,"morning",10
2020-07-20,"aftern.",NA
2020-07-21,"morning",8
2020-07-21,"aftern.",4
2020-07-22,"morning",8
2020-07-22,"aftern.",8
2020-07-23,"morning",NA
2020-07-23,"aftern.",9
2020-07-24,"morning",8
2020-07-24,"aftern.",NA
2020-07-25,"morning",6
2020-07-25,"aftern.",NA
2020-07-26,"morning",NA
2020-07-26,"aftern.",NA
2020-07-27,"morning",7
2020-07-27,"aftern.",9
2020-07-28,"morning",8
2020-07-28,"aftern.",7
2020-07-29,"morning",9
2020-07-29,"aftern.",9
2020-07-30,"morning",12
2020-07-30,"aftern.",12
2020-07-31,"morning",11
2020-07-31,"aftern.",8
2020-08-01,"morning",6
2020-08-01,"aftern.",NA
2020-08-02,"morning",NA
2020-08-02,"aftern.",NA
2020-08-03,"morning",8
2020-08-03,"aftern.",9
2020-08-04,"morning",9
2020-08-04,"aftern.",10
2020-08-05,"morning",9
2020-08-05,"aftern.",11
2020-08-06,"morning",12
2020-08-06,"aftern.",10
2020-08-07,"morning",10
2020-08-07,"aftern.",NA
2020-08-08,"morning",10
2020-08-08,"aftern.",NA
2020-08-09,"morning",NA
2020-08-09,"aftern.",NA
2020-08-10,"morning",11
2020-08-10,"aftern.",10
2020-08-11,"morning",10
2020-08-11,"aftern.",NA
2020-08-12,"morning",10
2020-08-12,"aftern.",NA
2020-08-13,"morning",9
2020-08-13,"aftern.",9
2020-08-14,"morning",11
2020-08-14,"aftern.",9
2020-08-15,"morning",10
2020-08-15,"aftern.",NA
2020-08-16,"morning",11
2020-08-16,"aftern.",NA
2020-08-17,"morning",10
2020-08-17,"aftern.",11
2020-08-18,"morning",12
2020-08-18,"aftern.",NA
2020-08-19,"morning",10
2020-08-19,"aftern.",9
2020-08-20,"morning",6
2020-08-20,"aftern.",11
2020-08-21,"morning",11
2020-08-21,"aftern.",NA
2020-08-22,"morning",NA
2020-08-22,"aftern.",NA
2020-08-23,"morning",12
2020-08-23,"aftern.",10
2020-08-24,"morning",13
2020-08-24,"aftern.",NA
2020-08-25,"morning",10
2020-08-25,"aftern.",12
2020-08-26,"morning",11
2020-08-26,"aftern.",NA
2020-08-27,"morning",12
2020-08-27,"aftern.",NA
2020-08-28,"morning",11
2020-08-28,"aftern.",NA
2020-08-29,"morning",13
2020-08-29,"aftern.",NA
2020-08-30,"morning",NA
2020-08-30,"aftern.",NA
2020-08-31,"morning",NA
2020-08-31,"aftern.",12
2020-09-01,"morning",13
2020-09-01,"aftern.",13
2020-09-02,"morning",12
2020-09-02,"aftern.",12
2020-09-03,"morning",14
2020-09-03,"aftern.",13
2020-09-04,"morning",13
2020-09-04,"aftern.",13
2020-09-05,"morning",12
2020-09-05,"aftern.",NA
2020-09-06,"morning",12
2020-09-06,"aftern.",NA
2020-09-07,"morning",13
2020-09-07,"aftern.",13
2020-09-08,"morning",12
2020-09-08,"aftern.",12
2020-09-09,"morning",13
2020-09-09,"aftern.",NA
2020-09-10,"morning",13
2020-09-10,"aftern.",12
2020-09-11,"morning",12
2020-09-11,"aftern.",NA
2020-09-12,"morning",9
2020-09-12,"aftern.",NA
2020-09-13,"morning",NA
2020-09-13,"aftern.",NA
2020-09-14,"morning",8
2020-09-14,"aftern.",NA
2020-09-15,"morning",NA
2020-09-15,"aftern.",12
2020-09-16,"morning",NA
2020-09-16,"aftern.",13
2020-09-17,"morning",11
2020-09-17,"aftern.",15
2020-09-18,"morning",NA
2020-09-18,"aftern.",NA
2020-09-19,"morning",16
2020-09-19,"aftern.",NA
2020-09-20,"morning",NA
2020-09-20,"aftern.",NA
2020-09-21,"morning",13
2020-09-21,"aftern.",13
2020-09-22,"morning",NA
2020-09-22,"aftern.",NA
2020-09-23,"morning",NA
2020-09-23,"aftern.",NA
2020-09-24,"morning",NA
2020-09-24,"aftern.",NA
2020-09-25,"morning",NA
2020-09-25,"aftern.",NA
2020-09-26,"morning",NA
2020-09-26,"aftern.",NA
2020-09-27,"morning",NA
2020-09-27,"aftern.",NA
2020-09-28,"morning",NA
2020-09-28,"aftern.",NA
2020-09-29,"morning",NA
2020-09-29,"aftern.",NA
2020-09-30,"morning",NA
2020-09-30,"aftern.",NA
2020-10-01,"morning",NA
2020-10-01,"aftern.",NA
2020-10-02,"morning",NA
2020-10-02,"aftern.",NA
2020-10-03,"morning",NA
2020-10-03,"aftern.",NA
2020-10-04,"morning",NA
2020-10-04,"aftern.",NA
2020-10-05,"morning",NA
2020-10-05,"aftern.",NA
2020-10-06,"morning",NA
2020-10-06,"aftern.",NA
2020-10-07,"morning",14
2020-10-07,"aftern.",17
2020-10-08,"morning",15
2020-10-08,"aftern.",NA
2020-10-09,"morning",12
2020-10-09,"aftern.",17
2020-10-10,"morning",13
2020-10-10,"aftern.",NA
2020-10-11,"morning",15
2020-10-11,"aftern.",NA
2020-10-12,"morning",NA
2020-10-12,"aftern.",NA
2020-10-13,"morning",15
2020-10-13,"aftern.",16
2020-10-14,"morning",16
2020-10-14,"aftern.",NA
2020-10-15,"morning",13
2020-10-15,"aftern.",14
2020-10-16,"morning",16
2020-10-16,"aftern.",18
2020-10-17,"morning",12
2020-10-17,"aftern.",NA
2020-10-18,"morning",13
2020-10-18,"aftern.",14
2020-10-19,"morning",NA
2020-10-19,"aftern.",NA
2020-10-20,"morning",14
2020-10-20,"aftern.",13
2020-10-21,"morning",14
2020-10-21,"aftern.",NA
2020-10-22,"morning",12
2020-10-22,"aftern.",10
2020-10-23,"morning",15
2020-10-23,"aftern.",NA
2020-10-24,"morning",15
2020-10-24,"aftern.",NA
2020-10-25,"morning",16
2020-10-25,"aftern.",NA
2020-10-26,"morning",12
2020-10-26,"aftern.",NA
2020-10-27,"morning",14
2020-10-27,"aftern.",NA
2020-10-28,"morning",15
2020-10-28,"aftern.",13
2020-10-29,"morning",13
2020-10-29,"aftern.",12
2020-10-30,"morning",12
2020-10-30,"aftern.",NA
2020-10-31,"morning",13
2020-10-31,"aftern.",13
2020-11-01,"morning",15
2020-11-01,"aftern.",NA
2020-11-02,"morning",NA
2020-11-02,"aftern.",NA
