"timestamp","CO2_ppm"
2020-10-12 10:00:00,NA
2020-10-12 16:00:00,NA
2020-10-13 10:00:00,16
2020-10-13 16:00:00,18
2020-10-14 10:00:00,18
2020-10-14 16:00:00,NA
2020-10-15 10:00:00,18
2020-10-15 16:00:00,19
2020-10-16 10:00:00,17
2020-10-16 16:00:00,19
2020-10-17 10:00:00,17
2020-10-17 16:00:00,NA
2020-10-18 10:00:00,19
2020-10-18 16:00:00,NA
2020-10-19 10:00:00,18
2020-10-19 16:00:00,NA
2020-10-20 10:00:00,19
2020-10-20 16:00:00,18
2020-10-21 10:00:00,19
2020-10-21 16:00:00,NA
2020-10-22 10:00:00,18
2020-10-22 16:00:00,17
2020-10-23 10:00:00,19
2020-10-23 16:00:00,NA
2020-10-24 10:00:00,19
2020-10-24 16:00:00,NA
2020-10-25 10:00:00,18
2020-10-25 16:00:00,NA
2020-10-26 10:00:00,19
2020-10-26 16:00:00,NA
2020-10-27 10:00:00,18
2020-10-27 16:00:00,NA
2020-10-28 10:00:00,19
2020-10-28 16:00:00,20
2020-10-29 10:00:00,19
2020-10-29 16:00:00,19
2020-10-30 10:00:00,16
2020-10-30 16:00:00,NA
2020-10-31 10:00:00,19
2020-10-31 16:00:00,19
2020-11-01 10:00:00,20
2020-11-01 16:00:00,NA
2020-11-02 10:00:00,NA
2020-11-02 16:00:00,NA
2020-11-03 10:00:00,19
2020-11-03 16:00:00,18
2020-11-04 10:00:00,16
2020-11-04 16:00:00,14
2020-11-05 10:00:00,16
2020-11-05 16:00:00,NA
2020-11-06 10:00:00,16
2020-11-06 16:00:00,NA
2020-11-07 10:00:00,20
2020-11-07 16:00:00,19
2020-11-08 10:00:00,20
2020-11-08 16:00:00,NA
2020-11-09 10:00:00,20
2020-11-09 16:00:00,NA
2020-11-10 10:00:00,18
2020-11-10 16:00:00,19
2020-11-11 10:00:00,19
2020-11-11 16:00:00,19
2020-11-12 10:00:00,20
2020-11-12 16:00:00,18
2020-11-13 10:00:00,NA
2020-11-13 16:00:00,NA
2020-11-14 10:00:00,18
2020-11-14 16:00:00,NA
2020-11-15 10:00:00,20
2020-11-15 16:00:00,19
2020-11-16 10:00:00,20
2020-11-16 16:00:00,20
2020-11-17 10:00:00,20
2020-11-17 16:00:00,20
2020-11-18 10:00:00,20
2020-11-18 16:00:00,NA
2020-11-19 10:00:00,17
2020-11-19 16:00:00,16
2020-11-20 10:00:00,17
2020-11-20 16:00:00,15
2020-11-21 10:00:00,14
2020-11-21 16:00:00,13
2020-11-22 10:00:00,13
2020-11-22 16:00:00,NA
2020-11-23 10:00:00,11
2020-11-23 16:00:00,NA
2020-11-24 10:00:00,12
2020-11-24 16:00:00,11
2020-11-25 10:00:00,18
2020-11-25 16:00:00,NA
2020-11-26 10:00:00,7
2020-11-26 16:00:00,7
2020-11-27 10:00:00,10
2020-11-27 16:00:00,NA
2020-11-28 10:00:00,13
2020-11-28 16:00:00,NA
2020-11-29 10:00:00,15
2020-11-29 16:00:00,NA
2020-11-30 10:00:00,16
2020-11-30 16:00:00,NA
2020-12-01 10:00:00,16
2020-12-01 16:00:00,16
2020-12-02 10:00:00,NA
2020-12-02 16:00:00,NA
