"DAY","K.kg/m^3"
2021-06-15,0.1298475
2021-06-16,0.12948915625
2021-06-17,0.13668120212766
2021-06-18,0.146393072916667
2021-06-19,0.146933302083333
2021-06-20,0.147243020833333
2021-06-21,0.14693040625
2021-06-22,0.146681708333333
2021-06-23,0.146856680851064
2021-06-24,0.147386333333333
2021-06-25,0.147250802083333
2021-06-26,0.146813947916667
2021-06-27,0.146252802083333
2021-06-28,0.14570290625
2021-06-29,0.144391385416667
2021-06-30,0.144746282051282
2021-07-01,0.144770760416667
2021-07-02,0.14351928125
2021-07-03,0.142582291666667
2021-07-04,0.14133975
2021-07-05,0.140836395833333
2021-07-06,0.140640479166667
2021-07-07,0.138154510638298
2021-07-08,0.14236775625
2021-07-09,0.143154260416667
2021-07-10,0.141783614583333
2021-07-11,0.14065678125
2021-07-12,0.142354391304348
2021-07-13,0.143429676056338
2021-07-14,0.143729765957447
2021-07-15,0.145698802083333
2021-07-16,0.143635072916667
2021-07-17,0.143064395833333
2021-07-18,0.141571791666667
2021-07-19,0.1388746
2021-07-20,0.138987885416667
2021-07-21,0.1424136875
2021-07-22,0.146150083333333
2021-07-23,0.144286697916667
2021-07-24,0.1406124375
2021-07-25,0.139749916666667
2021-07-26,0.149054109375
2021-07-27,0.149916083333333
2021-07-28,0.14512871875
2021-07-29,0.14743334375
2021-07-30,0.15353159375
2021-07-31,0.1542119375
2021-08-01,0.154668947916667
2021-08-02,0.155773916666667
2021-08-03,0.156694658536585
2021-08-04,0.165460430555556
2021-08-05,0.17530053125
2021-08-06,0.174396302083333
2021-08-07,0.17284909375
2021-08-08,0.172040552083333
2021-08-09,0.1716785625
2021-08-10,0.168832081052632
2021-08-11,0.167765635416667
2021-08-12,0.167386489583333
2021-08-13,0.166330770833333
2021-08-14,0.165554645833333
2021-08-15,0.16542121875
2021-08-16,0.164279642105263
2021-08-17,0.164243489583333
2021-08-18,0.16389659375
2021-08-19,0.16362859375
2021-08-20,0.1613915
2021-08-21,0.16382678125
2021-08-22,0.161306723404255
2021-08-23,0.159608431578947
2021-08-24,0.160407572916667
2021-08-25,0.160154479166667
2021-08-26,0.159497114583333
2021-08-27,0.158901729166667
2021-08-28,0.159330677083333
2021-08-29,0.160596864583333
2021-08-30,0.15940028125
2021-08-31,0.15843128125
2021-09-01,0.162150760416667
2021-09-02,0.164739020833333
2021-09-03,0.16533779787234
2021-09-04,0.166498770833333
2021-09-05,0.166568427083333
2021-09-06,0.166548083333333
2021-09-07,0.173168625
2021-09-08,0.162526947916667
2021-09-09,0.148440895833333
2021-09-10,0.148928489361702
2021-09-11,0.145248010416667
2021-09-12,0.143248395833333
2021-09-13,0.1420281875
2021-09-14,0.140750864583333
2021-09-15,0.138928301075269
2021-09-16,0.137136648351648
2021-09-17,0.144819694736842
2021-09-18,0.209943677083333
2021-09-19,0.234387260416667
2021-09-20,0.258404364583333
2021-09-21,0.2213716875
2021-09-22,0.157535083333333
2021-09-23,0.159541968085106
2021-09-24,0.1514529375
2021-09-25,0.148854145833333
2021-09-26,0.150407436170213
2021-09-27,0.151590389473684
2021-09-28,0.155106458333333
2021-09-29,0.15578753125
2021-09-30,0.156821427083333
2021-10-01,0.152600395833333
2021-10-02,0.15140615625
2021-10-03,0.1499690625
2021-10-04,0.150053450549451
2021-10-05,0.15082322826087
2021-10-06,0.151190625
2021-10-07,0.16207879787234
2021-10-08,0.155740462365591
2021-10-09,0.149750304347826
2021-10-10,0.150063395833333
2021-10-11,0.152986835164835
2021-10-12,0.151070831578947
2021-10-13,0.151275385416667
2021-10-14,0.1514199375
2021-10-15,0.15008021875
2021-10-16,0.148477979166667
2021-10-17,0.147876291666667
2021-10-18,0.147068789473684
2021-10-19,0.146349854166667
2021-10-20,0.14508128125
2021-10-21,0.143889340425532
2021-10-22,0.142328916666667
2021-10-23,0.154934729166667
2021-10-24,0.162778583333333
2021-10-25,0.161833885416667
2021-10-26,0.160899541666667
2021-10-27,0.16004671875
2021-10-28,0.160361489361702
2021-10-29,0.159321135416667
2021-10-30,0.157654177083333
2021-10-31,0.157796087912088
2021-11-01,0.156789548387097
2021-11-02,0.155846354166667
2021-11-03,0.15591535483871
2021-11-04,0.156094229166667
2021-11-05,0.1552433125
2021-11-06,0.154282673684211
2021-11-07,0.153117364583333
2021-11-08,0.152371541666667
2021-11-09,0.153899907407407
