"TIME","K.kg/m^3"
2020-07-27 00:13:00,0.137
2020-07-27 00:28:00,0.137
2020-07-27 00:43:00,0.137
2020-07-27 00:58:00,0.137
2020-07-27 01:13:00,0.137
2020-07-27 01:28:00,0.137
2020-07-27 01:43:00,0.137
2020-07-27 01:58:00,0.137
2020-07-27 02:13:00,0.137
2020-07-27 02:28:00,0.137
2020-07-27 02:43:00,0.137
2020-07-27 02:58:00,0.137
2020-07-27 03:13:00,0.137
2020-07-27 03:28:00,0.137
2020-07-27 03:43:00,0.137
2020-07-27 03:58:00,0.137
2020-07-27 04:13:00,0.137
2020-07-27 04:28:00,0.137
2020-07-27 04:43:00,0.137
2020-07-27 04:58:00,0.137
2020-07-27 05:13:00,0.14
2020-07-27 05:28:00,0.14
2020-07-27 05:43:00,0.14
2020-07-27 05:58:00,0.14
2020-07-27 06:13:00,0.14
2020-07-27 06:28:00,0.14
2020-07-27 06:43:00,0.139
2020-07-27 06:58:00,0.139
2020-07-27 07:13:00,0.139
2020-07-27 07:28:00,0.139
2020-07-27 07:43:00,0.139
2020-07-27 07:58:00,0.139
2020-07-27 08:13:00,0.138
2020-07-27 08:28:00,0.138
2020-07-27 08:43:00,0.138
2020-07-27 08:58:00,0.138
2020-07-27 09:13:00,0.137
2020-07-27 09:28:00,0.137
2020-07-27 09:43:00,0.136
2020-07-27 09:58:00,0.136
2020-07-27 10:13:00,0.136
2020-07-27 10:28:00,0.135
2020-07-27 10:43:00,0.135
2020-07-27 10:58:00,0.135
2020-07-27 11:13:00,0.135
2020-07-27 11:28:00,0.133
2020-07-27 11:43:00,0.135
2020-07-27 11:58:00,0.135
2020-07-27 12:13:00,0.135
2020-07-27 12:28:00,0.136
2020-07-27 12:43:00,0.136
2020-07-27 12:58:00,0.136
2020-07-27 13:13:00,0.136
2020-07-27 13:28:00,0.136
2020-07-27 13:43:00,0.136
2020-07-27 13:58:00,0.136
2020-07-27 14:13:00,0.136
2020-07-27 14:28:00,0.137
2020-07-27 14:43:00,0.137
2020-07-27 14:58:00,0.137
2020-07-27 15:13:00,0.137
2020-07-27 15:28:00,0.137
2020-07-27 15:43:00,0.137
2020-07-27 15:58:00,0.137
2020-07-27 16:13:00,0.137
2020-07-27 16:28:00,0.137
2020-07-27 16:43:00,0.137
2020-07-27 16:58:00,0.138
2020-07-27 17:13:00,0.138
2020-07-27 17:28:00,0.138
2020-07-27 17:43:00,0.138
2020-07-27 17:58:00,0.139
2020-07-27 18:13:00,0.138
2020-07-27 18:28:00,0.139
2020-07-27 18:43:00,0.138
2020-07-27 18:58:00,0.139
2020-07-27 19:13:00,0.139
2020-07-27 19:28:00,0.139
2020-07-27 19:43:00,0.139
2020-07-27 19:58:00,0.139
2020-07-27 20:13:00,0.139
2020-07-27 20:28:00,0.139
2020-07-27 20:43:00,0.139
2020-07-27 20:58:00,0.139
2020-07-27 21:13:00,0.139
2020-07-27 21:28:00,0.139
2020-07-27 21:43:00,0.139
2020-07-27 21:58:00,0.139
2020-07-27 22:13:00,0.139
2020-07-27 22:28:00,0.139
2020-07-27 22:43:00,0.139
2020-07-27 22:58:00,0.139
2020-07-27 23:13:00,0.139
2020-07-27 23:28:00,0.139
2020-07-27 23:43:00,0.139
2020-07-27 23:58:00,0.139
2020-07-28 00:13:00,0.139
2020-07-28 00:28:00,0.139
2020-07-28 00:43:00,0.139
2020-07-28 00:58:00,0.139
2020-07-28 01:13:00,0.139
2020-07-28 01:28:00,0.139
2020-07-28 01:43:00,0.139
2020-07-28 01:58:00,0.139
2020-07-28 02:13:00,0.139
2020-07-28 02:28:00,0.139
2020-07-28 02:43:00,0.139
2020-07-28 02:58:00,0.139
2020-07-28 03:13:00,0.139
2020-07-28 03:28:00,0.139
2020-07-28 03:43:00,0.139
2020-07-28 03:58:00,0.139
2020-07-28 04:13:00,0.139
2020-07-28 04:28:00,0.139
2020-07-28 04:43:00,0.139
2020-07-28 04:58:00,0.139
2020-07-28 05:13:00,0.139
2020-07-28 05:28:00,0.14
2020-07-28 05:43:00,0.139
2020-07-28 05:58:00,0.139
2020-07-28 06:13:00,0.139
2020-07-28 06:28:00,0.139
2020-07-28 06:43:00,0.139
2020-07-28 06:58:00,0.139
2020-07-28 07:13:00,0.138
2020-07-28 07:28:00,0.138
2020-07-28 07:43:00,0.138
2020-07-28 07:58:00,0.138
2020-07-28 08:13:00,0.137
2020-07-28 08:28:00,0.137
2020-07-28 08:43:00,0.137
2020-07-28 08:58:00,0.137
2020-07-28 09:13:00,0.137
2020-07-28 09:28:00,0.137
2020-07-28 09:43:00,0.136
2020-07-28 09:58:00,0.136
2020-07-28 10:13:00,0.136
2020-07-28 10:28:00,0.136
2020-07-28 10:43:00,0.136
2020-07-28 10:58:00,0.136
2020-07-28 11:13:00,0.136
2020-07-28 11:28:00,0.136
2020-07-28 11:43:00,0.135
2020-07-28 11:58:00,0.135
2020-07-28 12:13:00,0.135
