"DAY","kg_feed_day-1"
2020-07-01,76.9
2020-07-02,0
2020-07-03,150
2020-07-04,150
2020-07-05,150
2020-07-06,150
2020-07-07,150
2020-07-08,150
2020-07-09,100
2020-07-10,0
2020-07-11,76.9
2020-07-12,147.8
2020-07-13,147.8
2020-07-14,76.9
2020-07-15,147.8
2020-07-16,147.8
2020-07-17,147.8
2020-07-18,76.9
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,53.2
2020-07-24,100.5
2020-07-25,53.2
2020-07-26,100.5
2020-07-27,100.5
2020-07-28,100.5
2020-07-29,100.5
2020-07-30,100.5
2020-07-31,100.5
2020-08-01,110.7
2020-08-02,110.7
2020-08-03,110.7
2020-08-04,117.2
2020-08-05,117.2
2020-08-06,117.2
2020-08-07,117.2
2020-08-08,117.2
2020-08-09,110.7
2020-08-10,110.7
2020-08-11,110.7
2020-08-12,110.7
2020-08-13,110.7
2020-08-14,110.7
2020-08-15,123.7
2020-08-16,123.7
2020-08-17,123.7
2020-08-18,123.7
2020-08-19,123.7
2020-08-20,123.7
2020-08-21,123.7
2020-08-22,123.7
2020-08-23,130.2
2020-08-24,130.2
2020-08-25,130.2
2020-08-26,130.2
2020-08-27,130.2
2020-08-28,65.1
2020-08-29,130.2
2020-08-30,71.6
2020-08-31,104.2
2020-09-01,71.4
2020-09-02,97.9
2020-09-03,128.5
2020-09-04,67.3
2020-09-05,67.3
2020-09-06,128.5
2020-09-07,128.5
2020-09-08,67.3
2020-09-09,128.5
2020-09-10,128.5
2020-09-11,0
2020-09-12,128.5
2020-09-13,67.3
2020-09-14,67.3
2020-09-15,128.5
2020-09-16,128.5
2020-09-17,128.5
2020-09-18,128.5
2020-09-19,128.5
2020-09-20,73.4
2020-09-21,134.6
2020-09-22,134.6
2020-09-23,134.6
2020-09-24,0
2020-09-25,61.2
2020-09-26,73.4
2020-09-27,134.6
2020-09-28,73.4
2020-09-29,73.4
2020-09-30,134.6
2020-10-01,120.1
2020-10-02,62.9
2020-10-03,0
2020-10-04,120.1
2020-10-05,120.1
2020-10-06,120.1
2020-10-07,57.2
2020-10-08,108.7
2020-10-09,108.7
2020-10-10,57.2
2020-10-11,108.7
2020-10-12,57.2
2020-10-13,51.5
2020-10-14,57.2
2020-10-15,57.2
2020-10-16,57.2
2020-10-17,57.2
2020-10-18,108.7
2020-10-19,108.7
2020-10-20,0
2020-10-21,108.7
2020-10-22,108.7
2020-10-23,0
2020-10-24,51.5
2020-10-25,57.2
2020-10-26,57.2
2020-10-27,51.5
2020-10-28,0
2020-10-29,103
2020-10-30,51.5
2020-10-31,54
2020-11-01,55.62
2020-11-02,55.62
2020-11-03,111.24
2020-11-04,111.24
2020-11-05,55.62
2020-11-06,111.24
2020-11-07,55.62
2020-11-08,49.44
2020-11-09,105.06
2020-11-10,105.06
2020-11-11,105.06
2020-11-12,105.06
2020-11-13,55.62
2020-11-14,0
2020-11-15,105.06
2020-11-16,105.06
2020-11-17,55.62
2020-11-18,105.06
2020-11-19,55.62
2020-11-20,105.06
2020-11-21,49.44
2020-11-22,55.62
2020-11-23,105.06
2020-11-24,105.06
2020-11-25,105.06
2020-11-26,55.62
2020-11-27,0
2020-11-28,111.24
2020-11-29,55.62
2020-11-30,0
2020-12-01,111.078
2020-12-02,111.078
2020-12-03,55.539
2020-12-04,111.078
2020-12-05,111.078
2020-12-06,111.078
2020-12-07,111.078
2020-12-08,111.078
2020-12-09,55.539
2020-12-10,111.078
2020-12-11,111.078
2020-12-12,111.078
2020-12-13,111.078
2020-12-14,0
2020-12-15,111.078
2020-12-16,111.078
2020-12-17,55.539
2020-12-18,46.2825
2020-12-19,104.907
2020-12-20,55.539
2020-12-21,104.907
2020-12-22,55.539
2020-12-23,0
2020-12-24,55.539
2020-12-25,104.907
2020-12-26,104.907
2020-12-27,55.539
2020-12-28,55.539
2020-12-29,49.368
2020-12-30,104.907
2020-12-31,104.907
2021-01-01,50.0976
2021-01-02,56.3598
2021-01-03,81.4086
2021-01-04,106.4574
2021-01-05,106.4574
2021-01-06,50.0976
2021-01-07,106.4574
2021-01-08,106.4574
2021-01-09,56.3598
2021-01-10,0
2021-01-11,56.3598
2021-01-12,0
2021-01-13,106.4574
2021-01-14,56.3598
2021-01-15,106.4574
2021-01-16,56.3598
2021-01-17,106.4574
2021-01-18,106.4574
2021-01-19,106.4574
2021-01-20,106.4574
2021-01-21,50.0976
2021-01-22,56.3598
2021-01-23,106.4574
2021-01-24,0
2021-01-25,56.3598
2021-01-26,0
2021-01-27,0
2021-01-28,50.0976
2021-01-29,0
2021-01-30,100.1952
2021-01-31,50.0976
2021-02-01,98.325
2021-02-02,45.885
2021-02-03,52.44
2021-02-04,52.44
2021-02-05,98.325
2021-02-06,52.44
2021-02-07,52.44
2021-02-08,0
2021-02-09,98.325
2021-02-10,98.325
2021-02-11,52.44
2021-02-12,22.9425
2021-02-13,98.325
2021-02-14,0
2021-02-15,45.885
2021-02-16,91.77
2021-02-17,91.77
2021-02-18,45.885
2021-02-19,45.885
2021-02-20,52.44
2021-02-21,52.44
2021-02-22,52.44
2021-02-23,98.325
2021-02-24,98.325
2021-02-25,52.44
2021-02-26,98.325
2021-02-27,98.325
2021-02-28,52.44
2021-03-01,0
2021-03-02,93.5
2021-03-03,93.5
2021-03-04,49.9
2021-03-05,68.6
2021-03-06,49.9
2021-03-07,0
2021-03-08,93.5
2021-03-09,93.5
2021-03-10,93.5
2021-03-11,93.5
2021-03-12,0
2021-03-13,93.5
2021-03-14,93.5
2021-03-15,49.9
2021-03-16,93.5
2021-03-17,93.5
2021-03-18,93.5
2021-03-19,0
2021-03-20,93.5
2021-03-21,49.9
2021-03-22,43.6
2021-03-23,93.5
2021-03-24,93.5
2021-03-25,99.7
2021-03-26,56.1
2021-03-27,43.6
2021-03-28,99.7
2021-03-29,56.1
2021-03-30,99.7
2021-03-31,56.1
2021-04-01,102.3
2021-04-02,44.8
2021-04-03,51.2
2021-04-04,57.6
2021-04-05,57.6
2021-04-06,57.6
2021-04-07,51.2
2021-04-08,57.6
2021-04-09,108.7
2021-04-10,51.2
2021-04-11,108.7
2021-04-12,108.7
