"TIME","Oxy.kg/m^3"
2020-06-19 12:31:00,0.00643063
2020-06-19 12:36:00,0.00655093
2020-06-19 12:51:00,0.00647508
2020-06-19 13:06:00,0.00637453
2020-06-19 13:21:00,0.006554
2020-06-19 13:36:00,0.00653759
2020-06-19 13:51:00,0.00691649
2020-06-19 14:06:00,0.00688012
2020-06-19 14:21:00,0.00699741
2020-06-19 14:36:00,0.00679533
2020-06-19 14:51:00,0.00704626
2020-06-19 15:06:00,0.00710389
2020-06-19 15:21:00,0.00659805
2020-06-19 15:36:00,0.00700193
2020-06-19 15:51:00,0.00612785
2020-06-19 16:06:00,0.00539643
2020-06-19 16:21:00,0.00434446
2020-06-19 16:36:00,0.00336582
2020-06-19 16:51:00,0.00331149
2020-06-19 17:06:00,0.00380499
2020-06-19 17:21:00,0.00398129
2020-06-19 17:36:00,0.00380672
2020-06-19 17:51:00,0.00374341
2020-06-19 18:06:00,0.00371604
2020-06-19 18:21:00,0.00344653
2020-06-19 18:36:00,0.00326088
2020-06-19 18:51:00,0.00366875
2020-06-19 19:06:00,0.00357363
2020-06-19 19:21:00,0.00351168
2020-06-19 19:36:00,0.00330901
2020-06-19 19:51:00,0.0037588
2020-06-19 20:06:00,0.00345741
2020-06-19 20:21:00,0.00340127
2020-06-19 20:36:00,0.00363363
2020-06-19 20:51:00,0.00347336
2020-06-19 21:06:00,0.00362883
2020-06-19 21:21:00,0.0036979
2020-06-19 21:36:00,0.00382164
2020-06-19 21:51:00,0.00366669
2020-06-19 22:06:00,0.0039446
2020-06-19 22:21:00,0.00407383
2020-06-19 22:36:00,0.00404186
2020-06-19 22:51:00,0.00421577
2020-06-19 23:06:00,0.00421638
2020-06-19 23:21:00,0.00430399
2020-06-19 23:36:00,0.00449248
2020-06-19 23:51:00,0.00457096
2020-06-20 00:06:00,0.00456539
2020-06-20 00:21:00,0.00463652
2020-06-20 00:36:00,0.00467821
2020-06-20 00:51:00,0.00465691
2020-06-20 01:06:00,0.00484474
2020-06-20 01:21:00,0.00496668
2020-06-20 01:36:00,0.00467022
2020-06-20 01:51:00,0.0051092
2020-06-20 02:06:00,0.00526338
2020-06-20 02:21:00,0.00528367
2020-06-20 02:36:00,0.00538941
2020-06-20 02:51:00,0.00545465
2020-06-20 03:06:00,0.00531635
2020-06-20 03:21:00,0.00585582
2020-06-20 03:36:00,0.00566593
2020-06-20 03:51:00,0.00570944
2020-06-20 04:06:00,0.00594764
2020-06-20 04:21:00,0.00592791
2020-06-20 04:36:00,0.00615556
2020-06-20 04:51:00,0.00602873
2020-06-20 05:06:00,0.00587176
2020-06-20 05:21:00,0.00602825
2020-06-20 05:36:00,0.0060289
2020-06-20 05:51:00,0.00607196
2020-06-20 06:06:00,0.00596665
2020-06-20 06:21:00,0.0060178
2020-06-20 06:36:00,0.00613411
2020-06-20 06:51:00,0.00609557
2020-06-20 07:06:00,0.00594113
2020-06-20 07:21:00,0.00608113
2020-06-20 07:36:00,0.00615125
2020-06-20 07:51:00,0.00621235
2020-06-20 08:06:00,0.00601201
2020-06-20 08:21:00,0.00587464
2020-06-20 08:36:00,0.00592353
2020-06-20 08:51:00,0.00622236
2020-06-20 09:06:00,0.00618031
2020-06-20 09:21:00,0.00620291
2020-06-20 09:36:00,0.00632311
2020-06-20 09:51:00,0.00595258
2020-06-20 10:06:00,0.00567847
2020-06-20 10:21:00,0.00565776
2020-06-20 10:36:00,0.00551436
2020-06-20 10:51:00,0.00545587
2020-06-20 11:06:00,0.00576169
2020-06-20 11:21:00,0.0059048
2020-06-20 11:36:00,0.0059866
2020-06-20 11:51:00,0.00655305
2020-06-20 12:06:00,0.00692476
2020-06-20 12:21:00,0.00727064
2020-06-20 12:36:00,0.00708663
2020-06-20 12:51:00,0.00693418
2020-06-20 13:06:00,0.0066431
2020-06-20 13:21:00,0.00671104
2020-06-20 13:36:00,0.00709206
2020-06-20 13:51:00,0.00683966
2020-06-20 14:06:00,0.00689324
2020-06-20 14:21:00,0.00683374
2020-06-20 14:36:00,0.0067418
2020-06-20 14:51:00,0.00667389
2020-06-20 15:06:00,0.00677377
2020-06-20 15:21:00,0.00687318
2020-06-20 15:36:00,0.0071468
2020-06-20 15:51:00,0.00687182
2020-06-20 16:06:00,0.00649638
2020-06-20 16:21:00,0.00551528
2020-06-20 16:36:00,0.00451604
2020-06-20 16:51:00,0.00414441
2020-06-20 17:06:00,0.00406123
2020-06-20 17:21:00,0.00430395
2020-06-20 17:36:00,0.0043222
2020-06-20 17:51:00,0.00474663
2020-06-20 18:06:00,0.00449599
2020-06-20 18:21:00,0.00382154
2020-06-20 18:36:00,0.00355506
2020-06-20 18:51:00,0.00333104
2020-06-20 19:06:00,0.00388882
2020-06-20 19:21:00,0.00418022
2020-06-20 19:36:00,0.00333919
2020-06-20 19:51:00,0.00278442
2020-06-20 20:06:00,0.00321243
2020-06-20 20:21:00,0.00282211
2020-06-20 20:36:00,0.00328845
2020-06-20 20:51:00,0.00364587
2020-06-20 21:06:00,0.00347188
2020-06-20 21:21:00,0.00329384
2020-06-20 21:36:00,0.00400657
2020-06-20 21:51:00,0.00387178
2020-06-20 22:06:00,0.00369668
2020-06-20 22:21:00,0.00378793
2020-06-20 22:36:00,0.0040051
2020-06-20 22:51:00,0.00399775
2020-06-20 23:06:00,0.0044611
2020-06-20 23:21:00,0.00446609
2020-06-20 23:36:00,0.00454471
2020-06-20 23:51:00,0.0044878
2020-06-21 00:06:00,0.00462912
2020-06-21 00:21:00,0.00494944
2020-06-21 00:36:00,0.0042584
2020-06-21 00:51:00,0.00462668
2020-06-21 01:06:00,0.00463053
2020-06-21 01:21:00,0.00514784
2020-06-21 01:36:00,0.00485752
2020-06-21 01:51:00,0.00528684
2020-06-21 02:06:00,0.00576161
2020-06-21 02:21:00,0.00582434
2020-06-21 02:36:00,0.00589999
2020-06-21 02:51:00,0.0054584
2020-06-21 03:06:00,0.00596832
2020-06-21 03:21:00,0.00596052
2020-06-21 03:36:00,0.00571801
2020-06-21 03:51:00,0.00612799
2020-06-21 04:06:00,0.00660498
2020-06-21 04:21:00,0.00688966
2020-06-21 04:36:00,0.00628168
2020-06-21 04:51:00,0.00667989
2020-06-21 05:06:00,0.00705924
2020-06-21 05:21:00,0.00661888
2020-06-21 05:36:00,0.00703317
2020-06-21 05:51:00,0.00717069
2020-06-21 06:06:00,0.00713422
2020-06-21 06:21:00,0.00692532
2020-06-21 06:36:00,0.0070209
2020-06-21 06:51:00,0.00726465
2020-06-21 07:06:00,0.00709358
2020-06-21 07:21:00,0.00697439
2020-06-21 07:36:00,0.00707058
2020-06-21 07:51:00,0.00757282
2020-06-21 08:06:00,0.00747221
2020-06-21 08:21:00,0.00777494
2020-06-21 08:36:00,0.00785952
2020-06-21 08:51:00,0.00770888
2020-06-21 09:06:00,0.00709864
2020-06-21 09:21:00,0.00654005
2020-06-21 09:36:00,0.00600088
2020-06-21 09:51:00,0.00595227
2020-06-21 10:06:00,0.00619601
2020-06-21 10:21:00,0.00653507
2020-06-21 10:36:00,0.00675843
2020-06-21 10:51:00,0.00716292
2020-06-21 11:06:00,0.00644097
2020-06-21 11:21:00,0.00651642
2020-06-21 11:36:00,0.00665167
2020-06-21 11:51:00,0.00726086
2020-06-21 12:06:00,0.00668515
2020-06-21 12:21:00,0.00676285
2020-06-21 12:36:00,0.00704919
2020-06-21 12:51:00,0.00671934
2020-06-21 13:06:00,0.00674389
2020-06-21 13:21:00,0.00659567
2020-06-21 13:36:00,0.00658113
2020-06-21 13:51:00,0.00707897
2020-06-21 14:06:00,0.0068308
2020-06-21 14:21:00,0.00689727
2020-06-21 14:36:00,0.0068888
2020-06-21 14:51:00,0.00677916
2020-06-21 15:06:00,0.0069534
2020-06-21 15:21:00,0.00712117
2020-06-21 15:36:00,0.00683269
2020-06-21 15:51:00,0.00593705
2020-06-21 16:06:00,0.00477779
2020-06-21 16:21:00,0.00364313
2020-06-21 16:36:00,0.00323708
2020-06-21 16:51:00,0.00311788
2020-06-21 17:06:00,0.00315269
2020-06-21 17:21:00,0.00276451
2020-06-21 17:36:00,0.00284604
2020-06-21 17:51:00,0.00297092
2020-06-21 18:06:00,0.00294827
2020-06-21 18:21:00,0.00279291
2020-06-21 18:36:00,0.00239897
2020-06-21 18:51:00,0.00296851
