"DAY","Temp.C"
2021-07-31,23.2545833333333
2021-08-01,23.1954166666667
2021-08-02,22.5275
2021-08-03,22.6375
2021-08-04,22.73375
2021-08-05,22.5445833333333
2021-08-06,22.62
2021-08-07,23.0395833333333
2021-08-08,23.1608333333333
2021-08-09,23.0679166666667
2021-08-10,23.5833333333333
2021-08-11,23.1416666666667
2021-08-12,23.0266666666667
2021-08-13,23.1170833333333
2021-08-14,23.1133333333333
2021-08-15,23.02375
2021-08-16,23.1921739130435
2021-08-17,23.13125
2021-08-18,23.0195833333333
2021-08-19,22.9091666666667
2021-08-20,22.9027272727273
2021-08-21,22.9733333333333
2021-08-22,22.864347826087
2021-08-23,22.9852173913043
2021-08-24,22.7891666666667
2021-08-25,22.4904166666667
2021-08-26,22.6091666666667
2021-08-27,22.7375
2021-08-28,22.4404166666667
2021-08-29,21.9833333333333
2021-08-30,22.1270833333333
2021-08-31,22.3483333333333
2021-09-01,22.3758333333333
2021-09-02,22.3366666666667
2021-09-03,22.425
2021-09-04,22.3470833333333
2021-09-05,22.2879166666667
2021-09-06,22.1129166666667
2021-09-07,22.07625
2021-09-08,22.2741666666667
2021-09-09,22.4079166666667
2021-09-10,22.1126086956522
2021-09-11,22.1754166666667
2021-09-12,22.18875
2021-09-13,22.14125
2021-09-14,22.0375
2021-09-15,22.2840909090909
2021-09-16,22.4535
2021-09-17,22.8836363636364
2021-09-18,22.50375
2021-09-19,22.2295833333333
2021-09-20,22.0058333333333
2021-09-21,22.0195833333333
2021-09-22,21.7465217391304
2021-09-23,21.7591304347826
2021-09-24,22.14625
2021-09-25,22.17375
2021-09-26,22.175652173913
2021-09-27,22.414347826087
2021-09-28,22.1154166666667
2021-09-29,22.4720833333333
2021-09-30,22.08375
2021-10-01,22.1225
2021-10-02,21.87375
2021-10-03,22.0329166666667
2021-10-04,22.1119047619048
2021-10-05,21.8063636363636
2021-10-06,21.8370833333333
2021-10-07,20.9852173913043
2021-10-08,21.0872727272727
2021-10-09,21.0933333333333
2021-10-10,20.83125
2021-10-11,20.6359090909091
2021-10-12,21.0427272727273
2021-10-13,21.0208333333333
2021-10-14,20.58375
2021-10-15,20.76625
2021-10-16,20.9545833333333
2021-10-17,21.1195833333333
2021-10-18,21.1934782608696
2021-10-19,21.1966666666667
2021-10-20,21.3666666666667
2021-10-21,21.454347826087
2021-10-22,21.8041666666667
2021-10-23,21.5983333333333
2021-10-24,21.24
2021-10-25,21.10875
2021-10-26,21.2554166666667
2021-10-27,21.2504166666667
2021-10-28,20.864347826087
2021-10-29,21.1783333333333
2021-10-30,21.3770833333333
2021-10-31,21.185
2021-11-01,21.2385714285714
2021-11-02,21.2716666666667
2021-11-03,21.1586956521739
2021-11-04,20.9020833333333
2021-11-05,20.7670833333333
2021-11-06,20.8726086956522
2021-11-07,21.09
2021-11-08,21.31
2021-11-09,20.8064285714286
